Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,0.1,EQ,225.6,236,243.65,234.25,243.65,243.65,240.83,2373228,5.72E+13,,,
04-01-2000,0.1,EQ,243.65,243.65,262,238.85,258,259.1,251.46,4495741,1.13E+14,,,
05-01-2000,0.1,EQ,259.1,249,264.7,245,249.05,248.45,252.35,3434058,8.67E+13,,,
06-01-2000,0.1,EQ,248.45,252,268,252,260.5,261,262.18,6658801,1.75E+14,,,
07-01-2000,0.1,EQ,261,261.5,279.9,255,279,273.3,269.02,7873985,2.12E+14,,,
10-01-2000,0.1,EQ,273.3,280,289.85,265.2,266,269.5,279.79,5519316,1.54E+14,,,
11-01-2000,0.1,EQ,269.5,266.8,267,247.95,247.95,247.95,254.66,2427606,6.18E+13,,,
12-01-2000,0.1,EQ,247.95,244,251.5,236.6,244,244.75,243.71,2805072,6.84E+13,,,
13-01-2000,0.1,EQ,244.75,246,255.6,243.1,243.15,244.5,250.04,3226776,8.07E+13,,,
14-01-2000,0.1,EQ,244.5,245,245,238.1,239.05,239.2,240.55,1506543,3.62E+13,,,
17-01-2000,0.1,EQ,239.2,244.4,251,232.3,236.1,235.9,240.22,4385887,1.05E+14,,,
18-01-2000,0.1,EQ,235.9,236.9,241,233.75,236.5,236.45,237.59,2706614,6.43E+13,,,
19-01-2000,0.1,EQ,236.45,240.9,247.5,240,243,243.95,244.63,2511949,6.15E+13,,,
20-01-2000,0.1,EQ,243.95,243,244.8,236.25,237.9,237.7,240.61,1158464,2.79E+13,,,
21-01-2000,0.1,EQ,237.7,238.75,239.75,235.5,237,237.45,237.56,1178627,2.80E+13,,,
24-01-2000,0.1,EQ,237.45,236.65,240.35,227.1,228.1,228.3,234.87,1855636,4.36E+13,,,
25-01-2000,0.1,EQ,228.3,226,227.9,222.6,225.5,224.85,225.12,2226513,5.01E+13,,,
27-01-2000,0.1,EQ,224.85,229,235.5,228,230.8,230.15,232.11,2000745,4.64E+13,,,
28-01-2000,0.1,EQ,230.15,232.7,248.6,232.7,248.6,248.5,245.28,4978231,1.22E+14,,,
31-01-2000,0.1,EQ,248.5,246,256.75,242.5,242.95,244.7,251.19,4829071,1.21E+14,,,
01-02-2000,0.1,EQ,244.7,245,250.7,242.75,250,246.5,245.74,2196468,5.40E+13,,,
02-02-2000,0.1,EQ,246.5,257,258.7,246,246.9,247.5,252.31,2328315,5.87E+13,,,
03-02-2000,0.1,EQ,247.5,250,264.9,248.6,257.85,258.8,258.52,7332794,1.90E+14,,,
04-02-2000,0.1,EQ,258.8,260,264.75,254.5,256.5,255.9,259.64,3206295,8.32E+13,,,
07-02-2000,0.1,EQ,255.9,258.7,258.7,243.6,245.5,247.4,251.65,2058676,5.18E+13,,,
08-02-2000,0.1,EQ,247.4,247,248.5,240.8,242.5,242.3,244.99,2398279,5.88E+13,,,
09-02-2000,0.1,EQ,242.3,254,254,243.15,244,245.4,248.19,1411153,3.50E+13,,,
10-02-2000,0.1,EQ,245.4,242.2,250.95,242.2,248.6,248.8,247.66,1843760,4.57E+13,,,
11-02-2000,0.1,EQ,248.8,251,257.7,246.6,249,250.1,252.38,2983767,7.53E+13,,,
14-02-2000,0.1,EQ,250.1,252,270.15,251.35,270.15,266.6,262.44,6388369,1.68E+14,,,
15-02-2000,0.1,EQ,266.6,271.9,272,247,250,253.9,259.73,4747733,1.23E+14,,,
16-02-2000,0.1,EQ,253.9,257,257,247.5,248.4,250,253.14,2045899,5.18E+13,,,
17-02-2000,0.1,EQ,250,248,253.8,247,249,250,250.88,1740649,4.37E+13,,,
18-02-2000,0.1,EQ,250,251.75,252.8,239,242,241.1,245.34,1509713,3.70E+13,,,
21-02-2000,0.1,EQ,241.1,243,248.9,240,244.25,244.2,244.39,2012722,4.92E+13,,,
22-02-2000,0.1,EQ,244.2,245,246.4,234,236.1,237.1,240.49,1651462,3.97E+13,,,
23-02-2000,0.1,EQ,237.1,244.9,248,232,235.75,234.05,238.64,1276651,3.05E+13,,,
24-02-2000,0.1,EQ,234.05,236,247,234.25,242.5,243.35,241.77,1575066,3.81E+13,,,
25-02-2000,0.1,EQ,243.35,242,246.5,239.15,240.25,241,242.43,1045776,2.54E+13,,,
28-02-2000,0.1,EQ,241,241,248.7,237.3,247.4,245.45,244.13,1473359,3.60E+13,,,
29-02-2000,0.1,EQ,245.45,248.9,262,225.85,226,228.75,249.55,3891344,9.71E+13,,,
01-03-2000,0.1,EQ,228.75,233,241.5,225,237,236.2,235.59,2048520,4.83E+13,,,
02-03-2000,0.1,EQ,236.2,239,241.4,223,225.5,226,230.75,2301423,5.31E+13,,,
03-03-2000,0.1,EQ,226,223,227.9,207.95,209.3,208.2,214.77,1742872,3.74E+13,,,
06-03-2000,0.1,EQ,208.2,214.7,224,203.15,214.1,212.1,216.18,2374676,5.13E+13,,,
07-03-2000,0.1,EQ,212.1,212.1,213.5,202.5,207.55,207.5,207.02,2046689,4.24E+13,,,
08-03-2000,0.1,EQ,207.5,209,209,190.9,191.5,191.45,199.31,1713711,3.42E+13,,,
09-03-2000,0.1,EQ,191.45,191.5,194,176.15,177.2,178.9,179.91,2347673,4.22E+13,,,
10-03-2000,0.1,EQ,178.9,180.9,180.9,168.15,171.35,170.4,172.83,1314953,2.27E+13,,,
13-03-2000,0.1,EQ,170.4,173.25,179,163,164.7,164.35,170.18,1824161,3.10E+13,,,
14-03-2000,0.1,EQ,164.35,168.5,177.5,161.1,177.5,177.5,171.04,2123749,3.63E+13,,,
15-03-2000,0.1,EQ,177.5,177.6,191,175,185.45,186.5,184.62,2364998,4.37E+13,,,
16-03-2000,0.1,EQ,186.5,185.9,201.45,182.5,200.2,199.7,194.36,3630383,7.06E+13,,,
21-03-2000,0.1,EQ,199.7,203.9,215.6,198.3,213.05,212.9,206.89,3182185,6.58E+13,,,
22-03-2000,0.1,EQ,212.9,214.7,217.5,206.85,211.45,212.1,212.49,2320305,4.93E+13,,,
23-03-2000,0.1,EQ,212.1,210,211.75,197.25,200,200.4,202.14,1836243,3.71E+13,,,
24-03-2000,0.1,EQ,200.4,199,201.5,194.35,197.4,197.25,197.47,1149127,2.27E+13,,,
27-03-2000,0.1,EQ,197.25,198,202,189.1,193.4,193.1,194.89,1527092,2.98E+13,,,
28-03-2000,0.1,EQ,193.1,191.5,203.9,186.8,200,200.35,195.39,2568833,5.02E+13,,,
29-03-2000,0.1,EQ,200.35,204.9,206.4,195,195.85,197.55,201.43,2758701,5.56E+13,,,
30-03-2000,0.1,EQ,197.55,199,204.5,185.35,200.25,200.5,194.28,2561286,4.98E+13,,,
31-03-2000,0.1,EQ,200.5,198,209.8,192.2,202.65,204.75,202.88,4726739,9.59E+13,,,
03-04-2000,0.1,EQ,204.75,205,219.65,205,211.5,213.3,214.44,3924088,8.41E+13,,,
04-04-2000,0.1,EQ,213.3,210.55,211.5,196.25,196.25,196.35,200.5,2934025,5.88E+13,,,
05-04-2000,0.1,EQ,196.35,197,203,187.5,196.5,196.2,194.8,2155066,4.20E+13,,,
06-04-2000,0.1,EQ,196.2,198,206.4,194.3,203.75,203.9,201.2,3351461,6.74E+13,,,
07-04-2000,0.1,EQ,203.9,204,219.5,204,216.25,218.1,213.65,7451592,1.59E+14,,,
10-04-2000,0.1,EQ,218.1,219.25,231.5,210.35,219.5,221.3,221.6,12461544,2.76E+14,,,
11-04-2000,0.1,EQ,221.3,218,223.9,209.15,220.3,220.75,218.28,5054787,1.10E+14,,,
12-04-2000,0.1,EQ,220.75,220,226.5,215.9,217.6,217.95,221.88,3898952,8.65E+13,,,
13-04-2000,0.1,EQ,217.95,215.5,215.5,203.2,206.05,204.85,208.03,4250852,8.84E+13,,,
17-04-2000,0.1,EQ,204.85,202.25,202.25,188.6,197.1,197.3,195.86,3897217,7.63E+13,,,
18-04-2000,0.1,EQ,197.3,198.9,204,198,202,201,200.9,2137667,4.29E+13,,,
19-04-2000,0.1,EQ,201,206,208.95,196.25,203,202.75,201.97,2293809,4.63E+13,,,
20-04-2000,0.1,EQ,202.75,199.8,204.95,195.1,203.2,203.45,199.96,2037399,4.07E+13,,,
24-04-2000,0.1,EQ,203.45,203,205.4,199.1,199.6,201.2,202.34,1522136,3.08E+13,,,
25-04-2000,0.1,EQ,201.2,199,202,193.6,201.7,200.7,197.14,2428660,4.79E+13,,,
26-04-2000,0.1,EQ,200.7,207,216.45,203.5,213.55,215.1,211.38,6541764,1.38E+14,,,
27-04-2000,0.1,EQ,215.1,212,214.85,205.15,206.25,206.7,209.88,4533634,9.52E+13,,,
28-04-2000,0.1,EQ,206.7,206.5,209.45,203.3,206.75,206.45,206.27,1891678,3.90E+13,,,
02-05-2000,0.1,EQ,206.45,207,207.9,193.7,196,195.75,198.46,3009188,5.97E+13,,,
03-05-2000,0.1,EQ,195.75,197,198,185,197.7,196.6,194.01,1936545,3.76E+13,,,
04-05-2000,0.1,EQ,196.6,198.8,204.7,194.1,202.55,203.1,200.96,1934154,3.89E+13,,,
05-05-2000,0.1,EQ,203.1,204.9,207.9,200,200.7,201.4,204.03,2347389,4.79E+13,,,
08-05-2000,0.1,EQ,201.4,202.5,202.5,197.65,198.9,198.4,198.9,917765,1.83E+13,,,
09-05-2000,0.1,EQ,198.4,196.6,198.15,193,197.15,197.15,196.54,1163426,2.29E+13,,,
10-05-2000,0.1,EQ,197.15,197,202,196.5,196.5,197.65,199.21,1554899,3.10E+13,,,
11-05-2000,0.1,EQ,197.65,195,195.5,186.1,190.7,189.5,190.04,1539343,2.93E+13,,,
12-05-2000,0.1,EQ,189.5,192.9,192.9,185.75,186.5,187.1,189.72,1132399,2.15E+13,,,
15-05-2000,0.1,EQ,187.1,185.35,189.8,182.3,188.55,188.6,186.52,766867,1.43E+13,,,
16-05-2000,0.1,EQ,188.6,188.85,189.5,186,189,188.25,187.81,798425,1.50E+13,,,
17-05-2000,0.1,EQ,188.25,191,193,188.25,189.55,190.15,190.86,1059962,2.02E+13,,,
18-05-2000,0.1,EQ,190.15,192,192,183.1,185,184.3,186.92,895352,1.67E+13,,,
19-05-2000,0.1,EQ,184.3,186.5,188,182.7,186.4,185.3,184.78,729045,1.35E+13,,,
22-05-2000,0.1,EQ,185.3,183.5,184.5,180,183.1,182.8,182.66,658621,1.20E+13,,,
23-05-2000,0.1,EQ,182.8,182.1,183.6,176.15,180.4,180.4,179.75,1157161,2.08E+13,,,
24-05-2000,0.1,EQ,180.4,180.5,181.25,166.1,180.8,180.6,179.02,794233,1.42E+13,,,
25-05-2000,0.1,EQ,180.6,181.95,185.9,180.5,184.5,184.3,182.65,1026189,1.87E+13,,,
26-05-2000,0.1,EQ,184.3,183.15,188.9,182.5,187.85,187.8,186.39,1448736,2.70E+13,,,
29-05-2000,0.1,EQ,187.8,187.95,196.7,187.95,193.6,192.5,192.6,1159176,2.23E+13,,,
30-05-2000,0.1,EQ,192.5,193.85,201,193,200,198.6,196.69,1223994,2.41E+13,,,
31-05-2000,0.1,EQ,198.6,205,207,199.6,203.45,203.8,203.85,2161799,4.41E+13,,,
01-06-2000,0.1,EQ,203.8,203.5,203.5,198.1,199.35,199.3,199.88,894261,1.79E+13,,,
02-06-2000,0.1,EQ,199.3,200.95,203.65,200.05,202.9,202.05,201.77,1180068,2.38E+13,,,
05-06-2000,0.1,EQ,202.05,203.5,216.4,203.5,205,205.8,211.03,3069887,6.48E+13,,,
06-06-2000,0.1,EQ,205.8,206,211.25,204,207.75,209,207.62,1268319,2.63E+13,,,
07-06-2000,0.1,EQ,209,210.45,211.4,206.1,209.45,208.85,208.98,1364589,2.85E+13,,,
08-06-2000,0.1,EQ,208.85,209.5,225.4,208.55,222.95,220.2,217.16,4143342,9.00E+13,,,
09-06-2000,0.1,EQ,220.2,222,230.4,218.4,222,223,225.2,4273076,9.62E+13,,,
12-06-2000,0.1,EQ,223,223.1,226.8,217.5,217.9,218.2,221.45,1596039,3.53E+13,,,
13-06-2000,0.1,EQ,218.2,217.5,219.7,215.55,217.5,217.75,216.96,1241290,2.69E+13,,,
14-06-2000,0.1,EQ,217.75,219.2,224.9,218,220.55,220.7,221.56,1217110,2.70E+13,,,
15-06-2000,0.1,EQ,220.7,220.25,227.3,218.1,222,223.15,224.24,1921590,4.31E+13,,,
16-06-2000,0.1,EQ,223.15,224.45,235.95,223.5,234.15,233.6,232.13,3865502,8.97E+13,,,
19-06-2000,0.1,EQ,233.6,236.45,237.7,229.4,229.65,231.35,234.23,1694394,3.97E+13,,,
20-06-2000,0.1,EQ,231.35,233,238.85,230.5,236.2,237.2,234.91,1919584,4.51E+13,,,
21-06-2000,0.1,EQ,237.2,239,239.45,224.4,225.05,225.3,231.7,2320096,5.38E+13,,,
22-06-2000,0.1,EQ,225.3,224.45,232,222.5,231.85,230.5,228.04,2001486,4.56E+13,,,
23-06-2000,0.1,EQ,230.5,233.35,248.95,233.35,237.9,236.6,243.39,5251773,1.28E+14,,,
26-06-2000,0.1,EQ,236.6,235,239,224.6,226,227.8,230.44,2244607,5.17E+13,,,
27-06-2000,0.1,EQ,227.8,228,234.3,226.25,227.25,227.05,229.22,1912214,4.38E+13,,,
28-06-2000,0.1,EQ,227.05,228,231.45,225.3,228,228.5,228.77,1101692,2.52E+13,,,
29-06-2000,0.1,EQ,228.5,230,234,228.5,229.25,230.05,231.8,1434817,3.33E+13,,,
30-06-2000,0.1,EQ,230.05,227.55,233,226,227.75,227.4,229.42,1197289,2.75E+13,,,
03-07-2000,0.1,EQ,227.4,229.8,232.9,228,231.1,230.65,231.03,1404757,3.25E+13,,,
04-07-2000,0.1,EQ,230.65,232,235.85,231.05,232.75,233.2,233.64,1871523,4.37E+13,,,
05-07-2000,0.1,EQ,233.2,236,236,231.7,232,232.6,234.35,1352944,3.17E+13,,,
06-07-2000,0.1,EQ,232.6,231,232.5,227.55,228,229,230.21,784661,1.81E+13,,,
07-07-2000,0.1,EQ,229,231,235,229.6,232.05,231.95,232.52,1414214,3.29E+13,,,
10-07-2000,0.1,EQ,231.95,232.8,234,226.25,226.5,228.7,230.97,1155550,2.67E+13,,,
11-07-2000,0.1,EQ,228.7,227,231.9,226.5,230.5,230.7,229.77,947564,2.18E+13,,,
12-07-2000,0.1,EQ,230.7,232,233.35,228.5,229.15,230.1,231.35,950658,2.20E+13,,,
13-07-2000,0.1,EQ,230.1,231,235.25,225,228.45,229.4,232.59,2100122,4.88E+13,,,
14-07-2000,0.1,EQ,229.4,228,230.4,224.5,225.05,225.65,227.22,1270675,2.89E+13,,,
17-07-2000,0.1,EQ,225.65,225,228.5,222.6,222.65,224,225.34,1130575,2.55E+13,,,
18-07-2000,0.1,EQ,224,223,235,223,229.7,230.4,230.6,3858779,8.90E+13,,,
19-07-2000,0.1,EQ,230.4,230.5,232.65,221.25,223.15,223.25,226.88,1398152,3.17E+13,,,
20-07-2000,0.1,EQ,223.25,223.4,224.9,217.75,220.1,219.85,220.5,1722660,3.80E+13,,,
21-07-2000,0.1,EQ,219.85,221,222,217.1,218,218,219.19,1229129,2.69E+13,,,
24-07-2000,0.1,EQ,218,216.5,216.5,198.55,199,200.05,205.42,1515602,3.11E+13,,,
25-07-2000,0.1,EQ,200.05,197,205.7,189,204,202.5,198.21,1989841,3.94E+13,,,
26-07-2000,0.1,EQ,202.5,205,205,193,194.35,194.65,198.54,1269083,2.52E+13,,,
