Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,0.2,EQ,1699.1,1800,1835.05,1760,1835.05,1835.05,1825.9,3024,5.52E+11,,,
04-01-2000,0.2,EQ,1835.05,1960,1960,1763,1811.5,1810.45,1805.97,5787,1.05E+12,,,
05-01-2000,0.2,EQ,1810.45,1845,1845,1740,1745,1746.9,1766.69,6105,1.08E+12,,,
06-01-2000,0.2,EQ,1746.9,1750,1795,1735,1748,1745.2,1749.32,3472,6.07E+11,,,
07-01-2000,0.2,EQ,1745.2,1705,1705,1605.6,1605.6,1605.6,1621.51,4125,6.69E+11,,,
10-01-2000,0.2,EQ,1605.6,1650,1697,1478,1545,1531.85,1581.78,4378,6.93E+11,,,
11-01-2000,0.2,EQ,1531.85,1522,1580,1410.05,1422,1507.2,1519.06,27648,4.20E+12,,,
12-01-2000,0.2,EQ,1507.2,1471,1491,1386.65,1386.65,1417,1442.89,18892,2.73E+12,,,
13-01-2000,0.2,EQ,1417,1400,1513.5,1361,1480,1492.5,1440.53,15735,2.27E+12,,,
14-01-2000,0.2,EQ,1492.5,1475,1603,1470,1590,1578.35,1516.88,15237,2.31E+12,,,
17-01-2000,0.2,EQ,1578.35,1670,1704.65,1605,1704.65,1704.65,1678.31,11777,1.98E+12,,,
18-01-2000,0.2,EQ,1704.65,1700,1718,1615,1635.05,1644.75,1664.08,5519,9.18E+11,,,
19-01-2000,0.2,EQ,1644.75,1710,1725,1650,1696,1702.3,1700.12,8012,1.36E+12,,,
20-01-2000,0.2,EQ,1702.3,1709,1735,1666,1679.9,1675.35,1708.5,4694,8.02E+11,,,
21-01-2000,0.2,EQ,1675.35,1749.95,1809.4,1730,1809.4,1809.4,1778.82,8753,1.56E+12,,,
24-01-2000,0.2,EQ,1809.4,1954.15,1954.15,1877.5,1898,1899.25,1937.73,74934,1.45E+13,,,
25-01-2000,0.2,EQ,1899.25,1875,1980,1821,1970,1944.1,1920.93,17777,3.41E+12,,,
27-01-2000,0.2,EQ,1944.1,2085,2099.6,1847,1911,1871.7,1992.14,43935,8.75E+12,,,
28-01-2000,0.2,EQ,1871.7,1900,1974.9,1855,1923,1928.6,1915.08,35944,6.88E+12,,,
31-01-2000,0.2,EQ,1928.6,1980,2010,1890,1950,1938.9,1967.01,36041,7.09E+12,,,
01-02-2000,0.2,EQ,1938.9,1970,2094.05,1950,2094.05,2094.05,2066.17,94932,1.96E+13,,,
02-02-2000,0.2,EQ,2094.05,2261.6,2261.6,2211.6,2261.1,2261.45,2260.09,120840,2.73E+13,,,
03-02-2000,0.2,EQ,2261.45,2280,2355,2149,2224,2214.75,2229.91,43938,9.80E+12,,,
04-02-2000,0.2,EQ,2214.75,2260,2288,2105,2135,2137,2149.08,31300,6.73E+12,,,
07-02-2000,0.2,EQ,2137,2110.05,2150,2091.05,2130,2127.3,2130.78,25827,5.50E+12,,,
08-02-2000,0.2,EQ,2127.3,2121,2285,2102,2200,2237.95,2176.99,76199,1.66E+13,,,
09-02-2000,0.2,EQ,2237.95,2347,2347,2149,2149.9,2159.9,2209.35,20902,4.62E+12,,,
10-02-2000,0.2,EQ,2159.9,2249,2249,2126,2145,2145.6,2157.07,20578,4.44E+12,,,
11-02-2000,0.2,EQ,2145.6,2215,2215,2080,2099.95,2097.35,2119.02,15271,3.24E+12,,,
14-02-2000,0.2,EQ,2097.35,2135,2160,2062,2119,2114.1,2114.11,14338,3.03E+12,,,
15-02-2000,0.2,EQ,2114.1,2070,2114,2000,2002,2031.75,2064.86,18423,3.80E+12,,,
16-02-2000,0.2,EQ,2031.75,2095,2150,2029,2060,2050.15,2070.08,12620,2.61E+12,,,
17-02-2000,0.2,EQ,2050.15,2095,2214.2,2095,2214.2,2214.2,2198.93,8705,1.91E+12,,,
18-02-2000,0.2,EQ,2214.2,2391.35,2391.35,2391.35,2391.35,2391.35,2391.35,10463,2.50E+12,,,
21-02-2000,0.2,EQ,2391.35,2547,2582.7,2410,2582.7,2582.7,2523.93,23980,6.05E+12,,,
22-02-2000,0.2,EQ,2582.7,2570,2730,2475,2646.05,2673.8,2651.25,52616,1.39E+13,,,
23-02-2000,0.2,EQ,2673.8,2760,2760,2551.05,2572.1,2584.8,2659.17,14540,3.87E+12,,,
24-02-2000,0.2,EQ,2584.8,2625,2791.6,2550,2791.6,2766.7,2672.03,39485,1.06E+13,,,
25-02-2000,0.2,EQ,2766.7,2975,2975,2621,2684.95,2664.05,2706.97,13417,3.63E+12,,,
28-02-2000,0.2,EQ,2664.05,2575,2877.2,2575,2877.2,2877,2788.4,36175,1.01E+13,,,
29-02-2000,0.2,EQ,2877,2949,3107,2647,2647,2665.15,2909.16,32870,9.56E+12,,,
01-03-2000,0.2,EQ,2665.15,2610,2778,2452,2477.25,2469.15,2551.77,77208,1.97E+13,,,
02-03-2000,0.2,EQ,2469.15,2500,2660,2421,2507,2501.25,2493.76,54930,1.37E+13,,,
03-03-2000,0.2,EQ,2501.25,2500,2550,2301.15,2301.15,2301.15,2404.65,38611,9.28E+12,,,
06-03-2000,0.2,EQ,2301.15,2272,2272,2117.1,2117.1,2117.1,2149.62,15333,3.30E+12,,,
07-03-2000,0.2,EQ,2117.1,1947.75,2145,1947.75,2100,2023.35,1976.75,90428,1.79E+13,,,
08-03-2000,0.2,EQ,2023.35,668,702.15,601,650,649.8,660.32,174191,1.15E+13,,,
09-03-2000,0.2,EQ,649.8,660,679,640,656.95,653.3,656.26,48937,3.21E+12,,,
10-03-2000,0.2,EQ,653.3,659,674,632,641.05,645.7,650.01,21170,1.38E+12,,,
13-03-2000,0.2,EQ,645.7,669.95,697.4,650.05,669,667.85,677.23,83668,5.67E+12,,,
14-03-2000,0.2,EQ,667.85,675,721.3,666,721.3,721.3,702.59,89529,6.29E+12,,,
15-03-2000,0.2,EQ,721.3,740,779,721,739,746.1,755.77,109605,8.28E+12,,,
16-03-2000,0.2,EQ,746.1,725,780,721,764.9,761.95,757.95,64039,4.85E+12,,,
21-03-2000,0.2,EQ,761.95,780,808,757,805,798.9,789.71,68143,5.38E+12,,,
22-03-2000,0.2,EQ,798.9,814,814,735,735,735,749.46,31993,2.40E+12,,,
23-03-2000,0.2,EQ,735,691,734.85,686,720.05,725.2,721.48,34219,2.47E+12,,,
24-03-2000,0.2,EQ,725.2,733.75,744.95,715,734.2,733.25,725.65,20792,1.51E+12,,,
27-03-2000,0.2,EQ,733.25,737.95,737.95,674.75,679,675,685.49,43828,3.00E+12,,,
28-03-2000,0.2,EQ,675,655,682,621,622,621.8,633.83,39284,2.49E+12,,,
29-03-2000,0.2,EQ,621.8,645,665,580,585,593.65,613.03,39876,2.44E+12,,,
30-03-2000,0.2,EQ,593.65,575,621,570,617,611.95,589.93,29482,1.74E+12,,,
31-03-2000,0.2,EQ,611.95,622.8,648,590,640,633.15,631.11,42475,2.68E+12,,,
03-04-2000,0.2,EQ,633.15,648.4,655,582.5,586,586.4,604.63,46561,2.82E+12,,,
04-04-2000,0.2,EQ,586.4,542.45,569.95,539.5,539.5,539.5,540.12,24108,1.30E+12,,,
05-04-2000,0.2,EQ,539.5,550,574.85,515,569,566.05,551.09,25392,1.40E+12,,,
06-04-2000,0.2,EQ,566.05,579.9,579.9,520.8,532.1,537.45,537.15,22518,1.21E+12,,,
07-04-2000,0.2,EQ,537.45,550,580.45,550,580.45,580.45,570.46,11727,6.69E+11,,,
10-04-2000,0.2,EQ,580.45,623.9,626.9,612.05,626.9,626.9,622.98,17832,1.11E+12,,,
11-04-2000,0.2,EQ,626.9,626.9,626.9,580.3,600,593.4,593.75,30774,1.83E+12,,,
12-04-2000,0.2,EQ,593.4,601,622,597,602,605.55,610.07,8674,5.29E+11,,,
