Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
25-08-2004,0.4,EQ,850,1198.7,1198.7,979,985,987.95,1008.32,17116372,1.73E+15,,5206360,0.3042
26-08-2004,0.4,EQ,987.95,992,997,975.3,976.85,979,985.65,5055400,4.98E+14,,1294899,0.2561
27-08-2004,0.4,EQ,979,982.4,982.4,958.55,961.2,962.65,969.94,3830750,3.72E+14,,976527,0.2549
30-08-2004,0.4,EQ,962.65,969.9,990,965,986.4,986.75,982.65,3058151,3.01E+14,,701664,0.2294
31-08-2004,0.4,EQ,986.75,986.5,990,976,987.8,988.1,982.18,2649332,2.60E+14,,695234,0.2624
01-09-2004,0.4,EQ,988.1,990,995,983.6,986,987.9,989.68,2491943,2.47E+14,,790586,0.3173
02-09-2004,0.4,EQ,987.9,989.9,1004.6,986,994,993.65,996.96,2669544,2.66E+14,,501792,0.188
03-09-2004,0.4,EQ,993.65,1006,1100,990.35,998.7,997.85,996.91,1233732,1.23E+14,,235508,0.1909
06-09-2004,0.4,EQ,997.85,1039.9,1039.9,992.9,996.8,994.85,998.87,1129834,1.13E+14,,430184,0.3807
07-09-2004,0.4,EQ,994.85,1035,1035,995,995,995.6,997.34,721529,7.20E+13,,198212,0.2747
08-09-2004,0.4,EQ,995.6,996,1000.8,991.1,992.25,993.7,995.29,824248,8.20E+13,,220195,0.2671
09-09-2004,0.4,EQ,993.7,997,997.9,978.45,979.65,979.95,985.16,993398,9.79E+13,,364189,0.3666
10-09-2004,0.4,EQ,979.95,990,990,976,989.95,988.8,985.12,801884,7.90E+13,,203388,0.2536
13-09-2004,0.4,EQ,988.8,991,1015.5,991,1002.75,1003.5,1007.31,2613114,2.63E+14,,735865,0.2816
14-09-2004,0.4,EQ,1003.5,1005,1018.8,1002.95,1015.95,1015.65,1012.95,1916934,1.94E+14,,493998,0.2577
15-09-2004,0.4,EQ,1015.65,1018,1020,1001.2,1005,1006.1,1009.12,1498536,1.51E+14,,483466,0.3226
16-09-2004,0.4,EQ,1006.1,1007,1015,1002.5,1011,1008.45,1009.82,919778,9.29E+13,,240651,0.2616
17-09-2004,0.4,EQ,1008.45,1012,1029.9,1010.3,1029.9,1024.5,1021.09,1828487,1.87E+14,,538239,0.2944
20-09-2004,0.4,EQ,1024.5,1032.4,1036.9,1020.15,1022.5,1022.9,1028.83,1069028,1.10E+14,,305251,0.2855
21-09-2004,0.4,EQ,1022.9,1024.85,1048.5,1022,1047.4,1045.8,1039.54,1737135,1.81E+14,,413801,0.2382
22-09-2004,0.4,EQ,1045.8,1048.4,1056,1037.1,1049.9,1052.05,1047.57,1921448,2.01E+14,,443693,0.2309
23-09-2004,0.4,EQ,1052.05,1048,1049,1027,1028,1030.25,1037.8,1977460,2.05E+14,,846586,0.4281
24-09-2004,0.4,EQ,1030.25,1029.1,1040,1026,1027.6,1028.8,1033.94,1010401,1.04E+14,,218183,0.2159
27-09-2004,0.4,EQ,1028.8,1027.5,1032.5,1015,1019,1020.75,1022.44,1028689,1.05E+14,,299518,0.2912
28-09-2004,0.4,EQ,1020.75,1016,1027.4,1012.5,1016.2,1015.55,1020.82,792427,8.09E+13,,205152,0.2589
29-09-2004,0.4,EQ,1015.55,1019.25,1033,1016.15,1031,1031,1024.61,1467147,1.50E+14,,504626,0.344
30-09-2004,0.4,EQ,1031,1035.6,1040.9,1020.65,1025.1,1027.1,1032.72,1565179,1.62E+14,,585075,0.3738
01-10-2004,0.4,EQ,1027.1,1029,1056.45,1026.35,1048.5,1047.7,1043.58,1371111,1.43E+14,,502221,0.3663
04-10-2004,0.4,EQ,1047.7,1057,1081,1054.45,1079.2,1076.5,1071.89,1891228,2.03E+14,,790442,0.418
05-10-2004,0.4,EQ,1076.5,1080.3,1089,1075.5,1077.05,1080.7,1083.44,1792661,1.94E+14,,532812,0.2972
06-10-2004,0.4,EQ,1080.7,1081,1102.8,1075.05,1082,1081.6,1090.08,2208833,2.41E+14,,701623,0.3176
07-10-2004,0.4,EQ,1081.6,1083,1100,1083,1099.6,1097.1,1093.19,1260016,1.38E+14,,403582,0.3203
08-10-2004,0.4,EQ,1097.1,1098,1111,1095,1097.8,1098.05,1103.24,1069865,1.18E+14,,308783,0.2886
09-10-2004,0.4,EQ,1098.05,1099.9,1103.85,1094.25,1103,1100.65,1099.79,258539,2.84E+13,,89081,0.3446
11-10-2004,0.4,EQ,1100.65,1100,1111.5,1085,1089.6,1089.3,1099.02,1166507,1.28E+14,,459319,0.3938
12-10-2004,0.4,EQ,1089.3,1110,1115,1077.65,1080,1084.45,1093.36,1950064,2.13E+14,,520867,0.2671
14-10-2004,0.4,EQ,1084.45,1103,1124,1088.05,1117.5,1116.2,1107.77,2403248,2.66E+14,,677707,0.282
15-10-2004,0.4,EQ,1116.2,1121.7,1141,1117.25,1127.6,1126,1129.32,2224968,2.51E+14,,621885,0.2795
18-10-2004,0.4,EQ,1126,1134,1142,1125.25,1134,1137.25,1135.53,1711668,1.94E+14,,705586,0.4122
19-10-2004,0.4,EQ,1137.25,1140.15,1148.7,1136.1,1143,1143.2,1142.22,1470891,1.68E+14,,650387,0.4422
20-10-2004,0.4,EQ,1143.2,1144.8,1149.9,1129,1134.2,1133.25,1141.59,900854,1.03E+14,,285336,0.3167
21-10-2004,0.4,EQ,1133.25,1137.25,1139,1122,1127,1125.55,1129.68,801690,9.06E+13,,236453,0.2949
25-10-2004,0.4,EQ,1125.55,1125,1127,1110.75,1118,1117.35,1117.27,1173784,1.31E+14,,580648,0.4947
26-10-2004,0.4,EQ,1117.35,1115.6,1140.95,1115.6,1140.2,1137.2,1130.04,866595,9.79E+13,,256600,0.2961
27-10-2004,0.4,EQ,1137.2,1142.25,1148,1135.2,1140.5,1139.9,1142.43,979707,1.12E+14,,348753,0.356
28-10-2004,0.4,EQ,1139.9,1145,1174.8,1145,1164,1165.95,1164.97,2323927,2.71E+14,,991023,0.4264
29-10-2004,0.4,EQ,1165.95,1167.95,1167.95,1145.15,1158,1156.25,1155.14,1082722,1.25E+14,,439476,0.4059
01-11-2004,0.4,EQ,1156.25,1150,1174.45,1142.3,1170,1170.65,1162.17,767196,8.92E+13,,186885,0.2436
02-11-2004,0.4,EQ,1170.65,1130,1179.75,1125,1160.95,1159.7,1163.79,1108005,1.29E+14,,307235,0.2773
03-11-2004,0.4,EQ,1159.7,1161,1184,1161,1175.6,1175.2,1175.35,1122267,1.32E+14,,209505,0.1867
04-11-2004,0.4,EQ,1175.2,1181.75,1187.9,1167.7,1169,1170.4,1177.48,819476,9.65E+13,,267486,0.3264
05-11-2004,0.4,EQ,1170.4,1173.95,1180,1160,1165.9,1165.45,1165.94,627981,7.32E+13,,175100,0.2788
08-11-2004,0.4,EQ,1165.45,1165,1188.9,1156,1183,1184.15,1179.43,1286466,1.52E+14,,514975,0.4003
09-11-2004,0.4,EQ,1184.15,1187,1197.9,1177,1186.1,1188.4,1189.42,917339,1.09E+14,,192533,0.2099
10-11-2004,0.4,EQ,1188.4,1191,1199,1190.1,1195.4,1194.35,1195.19,716799,8.57E+13,,200583,0.2798
11-11-2004,0.4,EQ,1194.35,1199,1203.4,1191.1,1196,1196.25,1198.35,654391,7.84E+13,,195824,0.2992
12-11-2004,0.4,EQ,1196.25,1204,1208,1190.2,1191.85,1196.75,1199.8,226676,2.72E+13,,84942,0.3747
16-11-2004,0.4,EQ,1196.75,1198,1198,1184,1191,1190.9,1190.54,500688,5.96E+13,,200759,0.401
17-11-2004,0.4,EQ,1190.9,1191.5,1209.9,1191.5,1207,1205.4,1204.98,683492,8.24E+13,,199449,0.2918
18-11-2004,0.4,EQ,1205.4,1209.45,1234.55,1206.5,1231,1231,1219.15,934016,1.14E+14,,352646,0.3776
19-11-2004,0.4,EQ,1231,1233,1237,1211.1,1214,1217.1,1225.63,851595,1.04E+14,,243071,0.2854
22-11-2004,0.4,EQ,1217.1,1207.8,1226,1195,1226,1222.45,1215.46,592284,7.20E+13,,180192,0.3042
23-11-2004,0.4,EQ,1222.45,1230.6,1242,1224.15,1239.5,1235.55,1234.43,539099,6.65E+13,,147765,0.2741
24-11-2004,0.4,EQ,1235.55,1239,1245,1230.15,1234,1233.9,1239.03,402913,4.99E+13,,119968,0.2978
25-11-2004,0.4,EQ,1233.9,1234,1244,1208.65,1214,1216.85,1226.43,788859,9.67E+13,,359847,0.4562
29-11-2004,0.4,EQ,1216.85,1216,1247.7,1205.55,1247,1243.9,1232.02,660186,8.13E+13,,278261,0.4215
30-11-2004,0.4,EQ,1243.9,1248.15,1286,1245,1278,1274.65,1262.54,1313518,1.66E+14,,613859,0.4673
01-12-2004,0.4,EQ,1274.65,1281,1281,1257,1258.4,1261.55,1265.85,1060233,1.34E+14,,378075,0.3566
02-12-2004,0.4,EQ,1261.55,1265,1277,1239.1,1246,1242.6,1251.09,1207213,1.51E+14,,633037,0.5244
03-12-2004,0.4,EQ,1242.6,1249.25,1255.9,1221.55,1235.25,1236.75,1238.65,1222152,1.51E+14,,452439,0.3702
06-12-2004,0.4,EQ,1236.75,1240,1250,1208.5,1212.9,1214.55,1223.01,1434234,1.75E+14,,559591,0.3902
07-12-2004,0.4,EQ,1214.55,1216,1232.9,1215,1218,1218.25,1223.17,982903,1.20E+14,,281442,0.2863
08-12-2004,0.4,EQ,1218.25,1218,1226.6,1196.05,1200,1200.8,1211.7,916176,1.11E+14,,419371,0.4577
09-12-2004,0.4,EQ,1200.8,1204.95,1217,1204.85,1215,1211.45,1211.53,475153,5.76E+13,,136353,0.287
10-12-2004,0.4,EQ,1211.45,1220,1235.5,1214,1224.95,1225.65,1226.59,777101,9.53E+13,,276141,0.3553
13-12-2004,0.4,EQ,1225.65,1226,1241.65,1225.25,1238,1236.15,1234.6,624529,7.71E+13,,242910,0.3889
14-12-2004,0.4,EQ,1236.15,1242,1244.7,1230.3,1234,1233.15,1236.8,385438,4.77E+13,,198014,0.5137
15-12-2004,0.4,EQ,1233.15,1244,1254.75,1238,1246.5,1245.5,1247.49,721584,9.00E+13,,321609,0.4457
16-12-2004,0.4,EQ,1245.5,1248.45,1265,1238,1262.5,1262.65,1252.68,543808,6.81E+13,,205892,0.3786
17-12-2004,0.4,EQ,1262.65,1260,1274.8,1252.1,1257.1,1256.5,1263.88,688719,8.70E+13,,251583,0.3653
